,Time,SAggd,Article_Count
142,2020-07-08,-0.47780465625,8
143,2020-07-09,-0.48100537125,8
144,2020-07-10,-0.05797210999999999,8
145,2020-07-13,0.23136739714285717,7
146,2020-07-14,0.12381223250000001,8
147,2020-07-15,0.618779924,10
148,2020-07-16,0.6250012475,8
149,2020-07-17,0.41178221000000004,2
150,2020-07-20,-0.16604853666666666,6
151,2020-07-21,0.678876092,10
152,2020-07-22,0.1895233483333333,12
153,2020-07-23,0.716507756923077,13
154,2020-07-24,0.41671103,7
155,2020-07-26,0.61602051,1
156,2020-07-27,0.10664429666666665,3
157,2020-07-28,0.632550854375,16
158,2020-07-29,-0.06167643555555555,9
159,2020-07-30,0.9064475645454546,11
160,2020-07-31,0.46275116222222223,9
161,2020-08-03,0.1704128742857143,7
162,2020-08-04,0.43180552142857137,7
163,2020-08-05,0.25295695090909087,11
164,2020-08-06,0.5555454855555556,9
165,2020-08-07,-0.42065639125,8
166,2020-08-10,5.5400000000001746e-05,3
167,2020-08-11,0.6390302033333334,3
168,2020-08-12,-0.13108830857142856,7
169,2020-08-13,-0.43236625799999995,5
170,2020-08-14,-0.794339372,5
171,2020-08-17,-0.2721710575,8
172,2020-08-18,0.44699672714285715,7
173,2020-08-19,0.28729625285714283,14
174,2020-08-20,-0.19852190600000003,5
175,2020-08-21,-0.2656511275,8
176,2020-08-24,0.337180798,5
177,2020-08-25,0.5789340380000001,5
178,2020-08-26,-0.0029384666666666392,3
179,2020-08-27,0.587223795,10
180,2020-08-28,0.015890062000000007,10
181,2020-08-31,-0.25013259499999996,4
182,2020-09-01,-0.7477011499999999,4
183,2020-09-02,-0.29128262666666666,12
184,2020-09-03,-0.4260421285714286,14
185,2020-09-04,-0.47632939,6
186,2020-09-07,-0.5921252966666667,3
187,2020-09-08,-0.6184611609090909,11
188,2020-09-09,0.055565135,8
189,2020-09-10,-0.13345871750000002,8
190,2020-09-11,-0.07381998000000001,4
191,2020-09-14,-0.23091270000000003,4
192,2020-09-15,-0.16329966666666668,6
193,2020-09-16,0.36370163499999997,10
194,2020-09-17,-0.7872266266666667,6
195,2020-09-18,-0.8069083349999999,2
196,2020-09-21,-0.7147545000000001,6
197,2020-09-22,-0.1943586122222222,9
198,2020-09-23,0.14231534444444444,9
199,2020-09-24,-0.3147598475,4
200,2020-09-25,0.57628473,3
201,2020-09-28,-0.02595338000000002,5
202,2020-09-29,0.20941614399999997,5
203,2020-09-30,-0.394420081,10
204,2020-10-01,0.014728063333333333,3
205,2020-10-02,-0.30289573363636363,11
206,2020-10-04,-0.28721270000000004,1
207,2020-10-05,0.3017951083333333,6
208,2020-10-06,-0.018439094999999996,10
209,2020-10-07,0.060951026666666665,9
210,2020-10-08,0.3653139283333333,6
211,2020-10-09,0.31891036166666664,6
212,2020-10-11,0.91830835,1
213,2020-10-12,-0.30691282999999997,3
214,2020-10-13,0.4253635175,4
215,2020-10-14,-0.6663337666666667,3
216,2020-10-15,-0.29533761199999997,10
217,2020-10-16,-0.43804958,3
218,2020-10-18,0.05550804,1
219,2020-10-19,0.13686065249999999,4
220,2020-10-20,0.588718828,10
221,2020-10-21,0.5906262725,12
222,2020-10-22,0.004035205555555563,9
223,2020-10-23,-0.1851171366666667,3
224,2020-10-25,-0.97690077,1
225,2020-10-26,-0.43732965,5
226,2020-10-27,0.40017072315789476,19
227,2020-10-28,0.29959342045454546,22
228,2020-10-29,0.801242514,25
229,2020-10-30,0.06470589235294118,17
230,2020-11-02,0.11130100666666667,9
231,2020-11-03,-0.3105251871428571,7
232,2020-11-04,0.15483353533333333,15
233,2020-11-05,0.28752031050000004,20
234,2020-11-06,-0.16156227166666665,6
235,2020-11-09,-0.049258605454545454,11
236,2020-11-10,-0.41910597285714285,7
237,2020-11-11,0.016477266249999997,8
238,2020-11-12,-0.7758338025,4
239,2020-11-13,0.08218939250000001,4
240,2020-11-16,-0.10249524333333335,9
241,2020-11-17,0.3303134344444445,9
242,2020-11-18,0.2146520883333333,12
243,2020-11-19,-0.09903546250000002,8
244,2020-11-20,-0.1623192185714286,7
245,2020-11-22,-0.99966122,1
246,2020-11-23,-0.054203095555555546,9
247,2020-11-24,0.3004833276923077,13
